id_1,aperture_sum_1,annulus_median_1,aper_bkg_1,aper_err_1,aper_bkg_err_1,signal_1,noise_1,ra_1,dec_1,e_H,Hmag,id_2,aperture_sum_2,annulus_median_2,aper_bkg_2,aper_err_2,aper_bkg_err_2,signal_2,noise_2,ra_2,dec_2,e_j,Jmag,Separation_1,id,aperture_sum,annulus_median,aper_bkg,aper_err,aper_bkg_err,signal,noise,ra,dec,e_K,Kmag,Separation
97,17340.0,78.4,8867.0,131.7,79.37,8473.0,153.8,36.81775607600645,61.876145333977696,0.01815,17.37,31,5926.0,18.0,2770.0,76.98,62.47,3155.0,99.13,36.81789847635949,61.87614646908812,0.03142,18.32,0.2416829292297453,29,2214.0,-14.38,-1626.0,47.05,54.92,3840.0,72.32,36.817706902470924,61.876263819976664,0.01883,16.78,0.43463516391079937
99,22510.0,77.97,8819.0,150.0,85.01,13700.0,172.5,36.81763772734327,61.86403302290135,0.01259,16.85,32,6586.0,18.15,2795.0,81.15,62.29,3791.0,102.3,36.81776638658918,61.86403224044322,0.02698,18.12,0.2184347248622057,30,4474.0,-16.79,-1899.0,66.89,57.41,6373.0,88.15,36.817641880131724,61.86413158927034,0.01383,16.23,0.3549089549800643
101,22980.0,79.06,8941.0,151.6,88.76,14040.0,175.7,36.8169404069168,61.887685341593354,0.01251,16.82,33,5735.0,18.96,2919.0,75.73,66.15,2817.0,100.6,36.817097493815666,61.88768066568276,0.0357,18.44,0.26700165860832825,31,6784.0,-14.17,-1603.0,82.36,49.68,8386.0,96.19,36.81681939899609,61.88781340264443,0.01147,15.93,0.5046526955186218
104,17160.0,79.03,8938.0,131.0,87.37,8222.0,157.5,36.81676972140429,61.891171361639245,0.01915,17.4,34,5871.0,18.44,2839.0,76.62,68.22,3032.0,102.6,36.81691561969022,61.89117434415947,0.03384,18.36,0.24769557589301452,33,2167.0,-15.75,-1781.0,46.56,49.99,3949.0,68.31,36.816620757810426,61.89130006425396,0.0173,16.75,0.5277422930795155
110,31540.0,81.55,9223.0,177.6,83.72,22320.0,196.4,36.81626492819533,61.86730929111731,0.008797,16.32,35,9771.0,19.96,3073.0,98.85,60.95,6698.0,116.1,36.81640668838767,61.86731151999217,0.01734,17.5,0.24076519726090223,36,7817.0,-13.85,-1567.0,88.41,47.42,9384.0,100.3,36.816255945736756,61.867414670845285,0.01069,15.81,0.37967330193883164
112,26470.0,81.21,9185.0,162.7,90.29,17280.0,186.1,36.81601962240403,61.87718003076728,0.01077,16.6,36,12720.0,18.95,2917.0,112.8,69.34,9801.0,132.4,36.81616027020503,61.87718123298534,0.01351,17.09,0.23870553535981429,37,4814.0,-13.14,-1486.0,69.38,52.91,6300.0,87.26,36.81595787201747,61.87729884393836,0.01385,16.24,0.44037544344456964
115,17690.0,80.04,9052.0,133.0,86.51,8641.0,158.7,36.815585152457544,61.87295030816695,0.01836,17.35,37,6921.0,18.33,2822.0,83.19,70.3,4100.0,108.9,36.81573151838274,61.872946914791456,0.02657,18.04,0.24870395326811603,38,1959.0,-13.34,-1509.0,44.26,54.48,3468.0,70.2,36.81554808186069,61.87305924700813,0.02024,16.89,0.39719413718902313
116,26560.0,76.92,8700.0,163.0,82.08,17860.0,182.5,36.81540652038836,61.85564313720762,0.01022,16.56,38,5804.0,18.77,2890.0,76.18,57.45,2915.0,95.42,36.81554747582947,61.85563735102169,0.03274,18.41,0.24026124497163667,39,9196.0,-16.97,-1920.0,95.9,50.72,11120.0,108.5,36.815458246067884,61.855722161433604,0.00976,15.63,0.29773816542767323
118,35810.0,82.08,9283.0,189.2,102.9,26520.0,215.4,36.814805330150655,61.894079039825094,0.008121,16.13,39,7101.0,17.77,2735.0,84.27,77.56,4366.0,114.5,36.81496426550669,61.89408214985318,0.02623,17.97,0.2697821530724583,40,14380.0,-13.5,-1527.0,119.9,70.41,15900.0,139.0,36.814653750959245,61.894214816509354,0.008743,15.24,0.5522755562079423
125,19810.0,76.46,8647.0,140.8,72.09,11170.0,158.2,36.81354569851282,61.85623556087776,0.01416,17.07,40,5664.0,17.77,2736.0,75.26,51.12,2928.0,90.98,36.81367720256679,61.85623869645678,0.03107,18.4,0.2235879355327559,44,3489.0,-16.18,-1829.0,59.07,49.05,5318.0,76.78,36.81359505461892,61.85631416348644,0.01444,16.43,0.29511993858591384
